Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","231","Ethiopia","5510","Production","0112","Maize (corn)","2015","2015","t","8211424.38","A","Official figure",""
"QCL","Crops and livestock products","231","Ethiopia","5510","Production","0112","Maize (corn)","2016","2016","t","8846787.38","A","Official figure",""
"QCL","Crops and livestock products","231","Ethiopia","5510","Production","0112","Maize (corn)","2017","2017","t","10488192.84","A","Official figure",""
"QCL","Crops and livestock products","231","Ethiopia","5510","Production","0112","Maize (corn)","2018","2018","t","10864092","A","Official figure",""
"QCL","Crops and livestock products","231","Ethiopia","5510","Production","0112","Maize (corn)","2019","2019","t","11555370","E","Estimated value",""
"QCL","Crops and livestock products","231","Ethiopia","5510","Production","0112","Maize (corn)","2020","2020","t","10945980","E","Estimated value",""
"QCL","Crops and livestock products","231","Ethiopia","5510","Production","0112","Maize (corn)","2021","2021","t","11737527.72","A","Official figure",""
"QCL","Crops and livestock products","231","Ethiopia","5510","Production","0112","Maize (corn)","2022","2022","t","11853521.14","A","Official figure",""
"QCL","Crops and livestock products","231","Ethiopia","5510","Production","0112","Maize (corn)","2023","2023","t","11512342.95","E","Estimated value",""
"QCL","Crops and livestock products","231","Ethiopia","5510","Production","0112","Maize (corn)","2024","2024","t","11701130.61","E","Estimated value",""
"QCL","Crops and livestock products","231","Ethiopia","5510","Production","0114","Sorghum","2015","2015","t","4765620.85","A","Official figure",""
"QCL","Crops and livestock products","231","Ethiopia","5510","Production","0114","Sorghum","2016","2016","t","4752096","A","Official figure",""
"QCL","Crops and livestock products","231","Ethiopia","5510","Production","0114","Sorghum","2017","2017","t","5169252.54","A","Official figure",""
"QCL","Crops and livestock products","231","Ethiopia","5510","Production","0114","Sorghum","2018","2018","t","5372514","A","Official figure",""
"QCL","Crops and livestock products","231","Ethiopia","5510","Production","0114","Sorghum","2019","2019","t","5459790","E","Estimated value",""
"QCL","Crops and livestock products","231","Ethiopia","5510","Production","0114","Sorghum","2020","2020","t","5633820","E","Estimated value",""
"QCL","Crops and livestock products","231","Ethiopia","5510","Production","0114","Sorghum","2021","2021","t","4823403.35","A","Official figure",""
"QCL","Crops and livestock products","231","Ethiopia","5510","Production","0114","Sorghum","2022","2022","t","3877497.29","A","Official figure",""
